name,domain,input_type,output_type,difficulty,tags,can_invert
3d_combinatorics,geometry,integer,integer,4,geometry|3d|combinatorics,False
3d_distance_pythagorean,geometry,integer,integer,3,geometry|3d,False
absolute_difference,other,none,number,1,arithmetic|basic|absolute_value,False
absolute_value,other,number,number,1,arithmetic|basic,False
absolute_value_analysis,algebra,none,integer,2,algebra,False
add,other,none,number,1,arithmetic|basic,False
add_numerator_denominator,other,none,integer,1,arithmetic|fractions|basic,False
add_one,other,integer,integer,1,arithmetic|basic,True
algebraic_expand,algebra,integer,integer,2,algebra|expansion|polynomials,False
algebraic_manipulation,algebra,integer,integer,3,algebra,False
algebraic_simplification,algebra,integer,integer,3,algebra|simplification,False
allowed_prime_divisors,number_theory,integer,integer,3,number_theory|primes|counting,False
alternating_harmonic_series_sum,analysis,none,number,2,analysis|series|harmonic|alternating,False
altitude_feet_cyclic,geometry,integer,integer,3,geometry|stub,False
analyze_limit,analysis,none,number,3,analysis|limits|ratios,False
ando_projection_bound,analysis,number,number,4,functional_analysis|projection|operator_theory,False
angle_bisector_length,geometry,triangle,geometric_value,3,geometry|triangle|angle_bisector,False
angle_bisector_point_on_side,geometry,triangle,geometric_value,2,geometry|triangle|angle_bisector|division,False
angle_bisector_theorem,geometry,triangle,geometric_value,2,geometry|triangle|angle_bisector|ratio,False
angle_bisector_theorem_extended,geometry,integer,integer,3,geometry|triangle|bisector,False
angle_chasing,geometry,integer,integer,3,geometry|angles|triangle,False
angle_constraints_tilings,geometry,integer,integer,3,geometry|tiling,False
angle_from_dot_product,geometry,geometric,integer,2,geometry|vector|angle|dot_product,False
apollonius_theorem,geometry,integer,integer,3,geometry|triangle,False
apply_functional_condition,algebra,integer,integer,3,algebra|functional_equations|substitution,False
arccosine,other,trig_value,angle,2,trigonometry|inverse,True
arctan_diophantine,other,none,integer,5,trigonometry|diophantine|deep_insight|arctan,False
area_decomposition,geometry,integer,integer,3,geometry|area|decomposition,False
area_heron,geometry,triangle,geometric_value,2,geometry|area|triangle|heron,True
area_heron_inverse_side,geometry,geometric_value,geometric_value,4,geometry|area|triangle|heron|inverse,False
area_maximization_triangles,geometry,integer,integer,3,geometry|optimization|triangle,False
area_ratios,geometry,integer,integer,3,geometry,False
area_sine_formula,geometry,integer,integer,3,geometry|triangle|area,False
arithmetic_geometric_mean_inverse_vars,algebra,integer,sequence,3,algebra|inequalities|amgm|optimization,False
arithmetic_geometric_mean_min,algebra,sequence,integer,3,algebra|inequalities|amgm|optimization,False
arithmetic_progression,other,none,integer,3,sequences|arithmetic_progression,False
arithmetic_sequence,algebra,none,sequence,1,sequences|algebra,False
arithmetic_sum,algebra,sequence,integer,1,algebra|series|arithmetic,False
arithmetic_sum_cubes_expansion,algebra,integer,integer,3,algebra|sequences|sums|powers,False
arithmetic_sum_inverse_n,algebra,integer,integer,3,algebra|series|arithmetic|inverse,False
asymptotic_expansion_ci,analysis,number,number,3,analysis|special_functions|asymptotics,False
asymptotic_expansion_si,analysis,number,number,3,analysis|special_functions|asymptotics,False
asymptotic_integral_behavior,analysis,none,number,3,analysis|integrals|asymptotics,False
asymptotic_leading_term,analysis,none,number,2,analysis|asymptotics,False
asymptotic_ratio_comparison,analysis,none,integer,3,analysis|asymptotics|ratios,False
asymptotic_tail_sum,analysis,none,number,2,analysis|series|asymptotics,False
ballot,combinatorics,integer,count,3,combinatorics|ballot|paths,False
base_digit_count,number_theory,integer,integer,1,number_theory|base_conversion,False
base_digit_sum,number_theory,integer,integer,1,number_theory|digits|base_conversion,True
base_digit_sum_inverse,number_theory,integer,integer,3,number_theory|base_conversion|digit_sum,False
